,z1,z2,z3,z4,z5,z6,z7,z8,z9,weight,k
249,-1,0,-1,1,0,0,0,0,0,0.124999999999994,4
250,-1,0,0,-1.73205080756888,0,0,0,0,0,0.0833333333333293,4
251,-1,0,0,-1,-1,0,0,0,0,0.124999999999994,4
252,-1,0,0,-1,0,-1,0,0,0,0.124999999999994,4
253,-1,0,0,-1,0,0,-1,0,0,0.124999999999994,4
254,-1,0,0,-1,0,0,0,-1,0,0.124999999999994,4
255,-1,0,0,-1,0,0,0,0,-1,0.124999999999994,4
256,-1,0,0,-1,0,0,0,0,0,-1.9999999999999,4
257,-1,0,0,-1,0,0,0,0,1,0.124999999999994,4
258,-1,0,0,-1,0,0,0,1,0,0.124999999999994,4
259,-1,0,0,-1,0,0,1,0,0,0.124999999999994,4
260,-1,0,0,-1,0,1,0,0,0,0.124999999999994,4
261,-1,0,0,-1,1,0,0,0,0,0.124999999999994,4
262,-1,0,0,0,-1.73205080756888,0,0,0,0,0.0833333333333293,4
263,-1,0,0,0,-1,-1,0,0,0,0.124999999999994,4
264,-1,0,0,0,-1,0,-1,0,0,0.124999999999994,4
265,-1,0,0,0,-1,0,0,-1,0,0.124999999999994,4
266,-1,0,0,0,-1,0,0,0,-1,0.124999999999994,4
267,-1,0,0,0,-1,0,0,0,0,-1.9999999999999,4
268,-1,0,0,0,-1,0,0,0,1,0.124999999999994,4
269,-1,0,0,0,-1,0,0,1,0,0.124999999999994,4
270,-1,0,0,0,-1,0,1,0,0,0.124999999999994,4
271,-1,0,0,0,-1,1,0,0,0,0.124999999999994,4
272,-1,0,0,0,0,-1.73205080756888,0,0,0,0.0833333333333293,4
273,-1,0,0,0,0,-1,-1,0,0,0.124999999999994,4
274,-1,0,0,0,0,-1,0,-1,0,0.124999999999994,4
275,-1,0,0,0,0,-1,0,0,-1,0.124999999999994,4
276,-1,0,0,0,0,-1,0,0,0,-1.9999999999999,4
277,-1,0,0,0,0,-1,0,0,1,0.124999999999994,4
278,-1,0,0,0,0,-1,0,1,0,0.124999999999994,4
279,-1,0,0,0,0,-1,1,0,0,0.124999999999994,4
280,-1,0,0,0,0,0,-1.73205080756888,0,0,0.0833333333333293,4
281,-1,0,0,0,0,0,-1,-1,0,0.124999999999994,4
282,-1,0,0,0,0,0,-1,0,-1,0.124999999999994,4
283,-1,0,0,0,0,0,-1,0,0,-1.9999999999999,4
284,-1,0,0,0,0,0,-1,0,1,0.124999999999994,4
285,-1,0,0,0,0,0,-1,1,0,0.124999999999994,4
286,-1,0,0,0,0,0,0,-1.73205080756888,0,0.0833333333333293,4
287,-1,0,0,0,0,0,0,-1,-1,0.124999999999994,4
288,-1,0,0,0,0,0,0,-1,0,-1.9999999999999,4
289,-1,0,0,0,0,0,0,-1,1,0.124999999999994,4
290,-1,0,0,0,0,0,0,0,-1.73205080756888,0.0833333333333293,4
291,-1,0,0,0,0,0,0,0,-1,-1.9999999999999,4
292,-1,0,0,0,0,0,0,0,0,16.6666666666659,4
293,-1,0,0,0,0,0,0,0,1,-1.9999999999999,4
294,-1,0,0,0,0,0,0,0,1.73205080756888,0.0833333333333293,4
295,-1,0,0,0,0,0,0,1,-1,0.124999999999994,4
296,-1,0,0,0,0,0,0,1,0,-1.9999999999999,4
297,-1,0,0,0,0,0,0,1,1,0.124999999999994,4
298,-1,0,0,0,0,0,0,1.73205080756888,0,0.0833333333333293,4
299,-1,0,0,0,0,0,1,-1,0,0.124999999999994,4
300,-1,0,0,0,0,0,1,0,-1,0.124999999999994,4
301,-1,0,0,0,0,0,1,0,0,-1.9999999999999,4
302,-1,0,0,0,0,0,1,0,1,0.124999999999994,4
303,-1,0,0,0,0,0,1,1,0,0.124999999999994,4
304,-1,0,0,0,0,0,1.73205080756888,0,0,0.0833333333333293,4
305,-1,0,0,0,0,1,-1,0,0,0.124999999999994,4
306,-1,0,0,0,0,1,0,-1,0,0.124999999999994,4
307,-1,0,0,0,0,1,0,0,-1,0.124999999999994,4
308,-1,0,0,0,0,1,0,0,0,-1.9999999999999,4
309,-1,0,0,0,0,1,0,0,1,0.124999999999994,4
310,-1,0,0,0,0,1,0,1,0,0.124999999999994,4
311,-1,0,0,0,0,1,1,0,0,0.124999999999994,4
312,-1,0,0,0,0,1.73205080756888,0,0,0,0.0833333333333293,4
313,-1,0,0,0,1,-1,0,0,0,0.124999999999994,4
314,-1,0,0,0,1,0,-1,0,0,0.124999999999994,4
315,-1,0,0,0,1,0,0,-1,0,0.124999999999994,4
316,-1,0,0,0,1,0,0,0,-1,0.124999999999994,4
317,-1,0,0,0,1,0,0,0,0,-1.9999999999999,4
318,-1,0,0,0,1,0,0,0,1,0.124999999999994,4
319,-1,0,0,0,1,0,0,1,0,0.124999999999994,4
320,-1,0,0,0,1,0,1,0,0,0.124999999999994,4
321,-1,0,0,0,1,1,0,0,0,0.124999999999994,4
322,-1,0,0,0,1.73205080756888,0,0,0,0,0.0833333333333293,4
323,-1,0,0,1,-1,0,0,0,0,0.124999999999994,4
324,-1,0,0,1,0,-1,0,0,0,0.124999999999994,4
325,-1,0,0,1,0,0,-1,0,0,0.124999999999994,4
326,-1,0,0,1,0,0,0,-1,0,0.124999999999994,4
327,-1,0,0,1,0,0,0,0,-1,0.124999999999994,4
328,-1,0,0,1,0,0,0,0,0,-1.9999999999999,4
329,-1,0,0,1,0,0,0,0,1,0.124999999999994,4
330,-1,0,0,1,0,0,0,1,0,0.124999999999994,4
331,-1,0,0,1,0,0,1,0,0,0.124999999999994,4
332,-1,0,0,1,0,1,0,0,0,0.124999999999994,4
333,-1,0,0,1,1,0,0,0,0,0.124999999999994,4
334,-1,0,0,1.73205080756888,0,0,0,0,0,0.0833333333333293,4
335,-1,0,1,-1,0,0,0,0,0,0.124999999999994,4
336,-1,0,1,0,-1,0,0,0,0,0.124999999999994,4
337,-1,0,1,0,0,-1,0,0,0,0.124999999999994,4
338,-1,0,1,0,0,0,-1,0,0,0.124999999999994,4
339,-1,0,1,0,0,0,0,-1,0,0.124999999999994,4
340,-1,0,1,0,0,0,0,0,-1,0.124999999999994,4
341,-1,0,1,0,0,0,0,0,0,-1.9999999999999,4
342,-1,0,1,0,0,0,0,0,1,0.124999999999994,4
343,-1,0,1,0,0,0,0,1,0,0.124999999999994,4
344,-1,0,1,0,0,0,1,0,0,0.124999999999994,4
345,-1,0,1,0,0,1,0,0,0,0.124999999999994,4
346,-1,0,1,0,1,0,0,0,0,0.124999999999994,4
347,-1,0,1,1,0,0,0,0,0,0.124999999999994,4
348,-1,0,1.73205080756888,0,0,0,0,0,0,0.0833333333333293,4
349,-1,1,-1,0,0,0,0,0,0,0.124999999999994,4
350,-1,1,0,-1,0,0,0,0,0,0.124999999999994,4
351,-1,1,0,0,-1,0,0,0,0,0.124999999999994,4
352,-1,1,0,0,0,-1,0,0,0,0.124999999999994,4
353,-1,1,0,0,0,0,-1,0,0,0.124999999999994,4
354,-1,1,0,0,0,0,0,-1,0,0.124999999999994,4
