,z1,z2,z3,z4,z5,z6,z7,z8,z9
112,-9.775977597759775,-9.775977597759775,-9.775977597759775,-9.775977597759775,-9.775977597759775,-9.775977597759775,-9.775977597759775,-9.775977597759775,-9.775977597759775
113,-9.773977397739774,-9.773977397739774,-9.773977397739774,-9.773977397739774,-9.773977397739774,-9.773977397739774,-9.773977397739774,-9.773977397739774,-9.773977397739774
114,-9.771977197719773,-9.771977197719773,-9.771977197719773,-9.771977197719773,-9.771977197719773,-9.771977197719773,-9.771977197719773,-9.771977197719773,-9.771977197719773
115,-9.76997699769977,-9.76997699769977,-9.76997699769977,-9.76997699769977,-9.76997699769977,-9.76997699769977,-9.76997699769977,-9.76997699769977,-9.76997699769977
116,-9.767976797679768,-9.767976797679768,-9.767976797679768,-9.767976797679768,-9.767976797679768,-9.767976797679768,-9.767976797679768,-9.767976797679768,-9.767976797679768
117,-9.765976597659765,-9.765976597659765,-9.765976597659765,-9.765976597659765,-9.765976597659765,-9.765976597659765,-9.765976597659765,-9.765976597659765,-9.765976597659765
118,-9.763976397639764,-9.763976397639764,-9.763976397639764,-9.763976397639764,-9.763976397639764,-9.763976397639764,-9.763976397639764,-9.763976397639764,-9.763976397639764
119,-9.761976197619761,-9.761976197619761,-9.761976197619761,-9.761976197619761,-9.761976197619761,-9.761976197619761,-9.761976197619761,-9.761976197619761,-9.761976197619761
120,-9.75997599759976,-9.75997599759976,-9.75997599759976,-9.75997599759976,-9.75997599759976,-9.75997599759976,-9.75997599759976,-9.75997599759976,-9.75997599759976
121,-9.757975797579759,-9.757975797579759,-9.757975797579759,-9.757975797579759,-9.757975797579759,-9.757975797579759,-9.757975797579759,-9.757975797579759,-9.757975797579759
122,-9.755975597559756,-9.755975597559756,-9.755975597559756,-9.755975597559756,-9.755975597559756,-9.755975597559756,-9.755975597559756,-9.755975597559756,-9.755975597559756
123,-9.753975397539755,-9.753975397539755,-9.753975397539755,-9.753975397539755,-9.753975397539755,-9.753975397539755,-9.753975397539755,-9.753975397539755,-9.753975397539755
124,-9.751975197519752,-9.751975197519752,-9.751975197519752,-9.751975197519752,-9.751975197519752,-9.751975197519752,-9.751975197519752,-9.751975197519752,-9.751975197519752
125,-9.74997499749975,-9.74997499749975,-9.74997499749975,-9.74997499749975,-9.74997499749975,-9.74997499749975,-9.74997499749975,-9.74997499749975,-9.74997499749975
126,-9.747974797479747,-9.747974797479747,-9.747974797479747,-9.747974797479747,-9.747974797479747,-9.747974797479747,-9.747974797479747,-9.747974797479747,-9.747974797479747
127,-9.745974597459746,-9.745974597459746,-9.745974597459746,-9.745974597459746,-9.745974597459746,-9.745974597459746,-9.745974597459746,-9.745974597459746,-9.745974597459746
128,-9.743974397439745,-9.743974397439745,-9.743974397439745,-9.743974397439745,-9.743974397439745,-9.743974397439745,-9.743974397439745,-9.743974397439745,-9.743974397439745
129,-9.741974197419742,-9.741974197419742,-9.741974197419742,-9.741974197419742,-9.741974197419742,-9.741974197419742,-9.741974197419742,-9.741974197419742,-9.741974197419742
130,-9.73997399739974,-9.73997399739974,-9.73997399739974,-9.73997399739974,-9.73997399739974,-9.73997399739974,-9.73997399739974,-9.73997399739974,-9.73997399739974
131,-9.737973797379738,-9.737973797379738,-9.737973797379738,-9.737973797379738,-9.737973797379738,-9.737973797379738,-9.737973797379738,-9.737973797379738,-9.737973797379738
132,-9.735973597359736,-9.735973597359736,-9.735973597359736,-9.735973597359736,-9.735973597359736,-9.735973597359736,-9.735973597359736,-9.735973597359736,-9.735973597359736
133,-9.733973397339733,-9.733973397339733,-9.733973397339733,-9.733973397339733,-9.733973397339733,-9.733973397339733,-9.733973397339733,-9.733973397339733,-9.733973397339733
134,-9.731973197319732,-9.731973197319732,-9.731973197319732,-9.731973197319732,-9.731973197319732,-9.731973197319732,-9.731973197319732,-9.731973197319732,-9.731973197319732
135,-9.729972997299729,-9.729972997299729,-9.729972997299729,-9.729972997299729,-9.729972997299729,-9.729972997299729,-9.729972997299729,-9.729972997299729,-9.729972997299729
136,-9.727972797279728,-9.727972797279728,-9.727972797279728,-9.727972797279728,-9.727972797279728,-9.727972797279728,-9.727972797279728,-9.727972797279728,-9.727972797279728
137,-9.725972597259727,-9.725972597259727,-9.725972597259727,-9.725972597259727,-9.725972597259727,-9.725972597259727,-9.725972597259727,-9.725972597259727,-9.725972597259727
138,-9.723972397239724,-9.723972397239724,-9.723972397239724,-9.723972397239724,-9.723972397239724,-9.723972397239724,-9.723972397239724,-9.723972397239724,-9.723972397239724
139,-9.721972197219722,-9.721972197219722,-9.721972197219722,-9.721972197219722,-9.721972197219722,-9.721972197219722,-9.721972197219722,-9.721972197219722,-9.721972197219722
140,-9.71997199719972,-9.71997199719972,-9.71997199719972,-9.71997199719972,-9.71997199719972,-9.71997199719972,-9.71997199719972,-9.71997199719972,-9.71997199719972
141,-9.717971797179718,-9.717971797179718,-9.717971797179718,-9.717971797179718,-9.717971797179718,-9.717971797179718,-9.717971797179718,-9.717971797179718,-9.717971797179718
142,-9.715971597159715,-9.715971597159715,-9.715971597159715,-9.715971597159715,-9.715971597159715,-9.715971597159715,-9.715971597159715,-9.715971597159715,-9.715971597159715
143,-9.713971397139714,-9.713971397139714,-9.713971397139714,-9.713971397139714,-9.713971397139714,-9.713971397139714,-9.713971397139714,-9.713971397139714,-9.713971397139714
144,-9.711971197119713,-9.711971197119713,-9.711971197119713,-9.711971197119713,-9.711971197119713,-9.711971197119713,-9.711971197119713,-9.711971197119713,-9.711971197119713
145,-9.70997099709971,-9.70997099709971,-9.70997099709971,-9.70997099709971,-9.70997099709971,-9.70997099709971,-9.70997099709971,-9.70997099709971,-9.70997099709971
146,-9.707970797079708,-9.707970797079708,-9.707970797079708,-9.707970797079708,-9.707970797079708,-9.707970797079708,-9.707970797079708,-9.707970797079708,-9.707970797079708
147,-9.705970597059705,-9.705970597059705,-9.705970597059705,-9.705970597059705,-9.705970597059705,-9.705970597059705,-9.705970597059705,-9.705970597059705,-9.705970597059705
148,-9.703970397039704,-9.703970397039704,-9.703970397039704,-9.703970397039704,-9.703970397039704,-9.703970397039704,-9.703970397039704,-9.703970397039704,-9.703970397039704
149,-9.701970197019701,-9.701970197019701,-9.701970197019701,-9.701970197019701,-9.701970197019701,-9.701970197019701,-9.701970197019701,-9.701970197019701,-9.701970197019701
150,-9.6999699969997,-9.6999699969997,-9.6999699969997,-9.6999699969997,-9.6999699969997,-9.6999699969997,-9.6999699969997,-9.6999699969997,-9.6999699969997
151,-9.697969796979699,-9.697969796979699,-9.697969796979699,-9.697969796979699,-9.697969796979699,-9.697969796979699,-9.697969796979699,-9.697969796979699,-9.697969796979699
152,-9.695969596959696,-9.695969596959696,-9.695969596959696,-9.695969596959696,-9.695969596959696,-9.695969596959696,-9.695969596959696,-9.695969596959696,-9.695969596959696
153,-9.693969396939695,-9.693969396939695,-9.693969396939695,-9.693969396939695,-9.693969396939695,-9.693969396939695,-9.693969396939695,-9.693969396939695,-9.693969396939695
154,-9.691969196919691,-9.691969196919691,-9.691969196919691,-9.691969196919691,-9.691969196919691,-9.691969196919691,-9.691969196919691,-9.691969196919691,-9.691969196919691
155,-9.68996899689969,-9.68996899689969,-9.68996899689969,-9.68996899689969,-9.68996899689969,-9.68996899689969,-9.68996899689969,-9.68996899689969,-9.68996899689969
